"","GEOID","puma"
"0","36000900","3903"
"1","36009800","3808"
"2","36010000","3808"
"3","36010200","3807"
"4","36010400","3807"
"5","36011300","3807"
"6","36011402","3805"
"7","36013000","3805"
"8","36014000","3805"
"9","36014801","3805"
"10","36015300","3806"
"11","36015400","3805"
"12","36018400","3804"
"13","36019000","3803"
"14","36020102","3803"
"15","36020600","3803"
"16","36024900","3801"
"17","36025300","3801"
"18","36025700","3803"
"19","36026100","3801"
"20","36026300","3801"
"21","36026700","3801"
"22","36026900","3801"
"23","36027700","3801"
"24","36000501","4004"
"25","36002000","4012"
"26","36004100","4004"
"27","36005202","4013"
"28","36005800","4013"
"29","36006000","4013"
"30","36006700","4005"
"31","36006900","4004"
"32","36007400","4012"
"33","36007600","4012"
"34","36007800","4012"
"35","36008000","4012"
"36","36009800","4012"
"37","36010100","4012"
"38","36010200","4012"
"39","36010400","4012"
"40","36010800","4012"
"41","36011000","4012"
"42","36011400","4014"
"43","36012801","4013"
"44","36013000","4013"
"45","36013200","4013"
"46","36013300","4005"
"47","36013600","4013"
"48","36013700","4005"
"49","36013900","4005"
"50","36015100","4005"
"51","36015300","4005"
"52","36015500","4005"
"53","36015700","4005"
"54","36017000","4017"
"55","36017200","4017"
"56","36017800","4017"
"57","36018600","4017"
"58","36018800","4017"
"59","36019000","4017"
"60","36019200","4014"
"61","36019400","4013"
"62","36019500","4004"
"63","36019600","4013"
"64","36019700","4004"
"65","36019800","4013"
"66","36020400","4013"
"67","36020800","4013"
"68","36021000","4013"
"69","36021200","4013"
"70","36021400","4014"
"71","36021900","4006"
"72","36022000","4014"
"73","36022100","4006"
"74","36022200","4014"
"75","36022700","4004"
"76","36022900","4004"
"77","36023100","4004"
"78","36023500","4004"
"79","36023600","4014"
"80","36023800","4014"
"81","36024000","4014"
"82","36024200","4014"
"83","36024500","4003"
"84","36024600","4014"
"85","36024700","4006"
"86","36024800","4017"
"87","36024900","4003"
"88","36025000","4017"
"89","36025200","4017"
"90","36025400","4017"
"91","36025600","4017"
"92","36025800","4017"
"93","36026000","4017"
"94","36026200","4017"
"95","36026300","4003"
"96","36026400","4017"
"97","36026600","4017"
"98","36026700","4003"
"99","36026800","4017"
"100","36026900","4003"
"101","36027000","4017"
"102","36027200","4017"
"103","36027300","4003"
"104","36027400","4017"
"105","36027600","4017"
"106","36027800","4017"
"107","36027900","4003"
"108","36028400","4017"
"109","36028501","4002"
"110","36028800","4017"
"111","36029100","4003"
"112","36029300","4003"
"113","36029700","4006"
"114","36029800","4017"
